# columns: vPH vPHM JPH JPHM OmPH OmPHM  E(eV)  I  idxPH  idxPHM
0.005.001.001.000.000.001.000.004.500.50-0.501.000.002.00 0.3734632436  0.0000154789 
0.005.001.001.000.000.001.000.004.50-1.50-0.50-1.001.001.00 0.3730814313  0.0000111430 
0.005.00-1.00-1.000.001.001.000.006.50-0.500.50-1.001.002.00 0.3748370860  0.0000033963 
0.005.00-1.00-1.000.001.001.000.006.500.50-0.501.000.002.00 0.3748370860  0.0000101888 
0.005.00-1.00-1.000.001.001.000.006.501.500.501.000.001.00 0.3743038793  0.0000135871 
0.005.000.000.000.001.002.000.006.50-0.500.50-1.001.002.00 0.3739950563  0.0000064720 
0.005.000.000.000.001.002.000.006.500.50-0.501.000.002.00 0.3739950563  0.0000064720 
0.005.000.000.000.001.002.000.006.501.500.501.000.001.00 0.3734618495  0.0000028765 
0.005.000.000.000.001.002.000.006.50-1.50-0.50-1.001.001.00 0.3734618495  0.0000028765 
0.005.001.001.000.000.001.000.006.50-0.500.50-1.001.002.00 0.3744541022  0.0000102047 
0.005.001.001.000.000.001.000.006.500.50-0.501.000.002.00 0.3744541022  0.0000034016 
0.005.001.001.000.000.001.000.006.50-1.50-0.50-1.001.001.00 0.3739208954  0.0000136075 
0.006.00-1.00-1.000.001.001.000.004.50-0.500.50-1.001.002.00 0.3730041978  0.0000028629 
0.006.00-1.00-1.000.001.001.000.004.500.50-0.501.000.002.00 0.3730041978  0.0000085887 
0.006.00-1.00-1.000.001.001.000.004.501.500.501.000.001.00 0.3726223855  0.0000057254 
0.006.000.000.000.000.002.000.004.50-0.500.50-1.001.002.00 0.3724693809  0.0000034072 
0.006.000.000.000.000.002.000.004.500.50-0.501.000.002.00 0.3724693809  0.0000034072 
0.006.000.000.000.000.002.000.004.501.500.501.000.001.00 0.3720875686  0.0000007571 
0.006.000.000.000.000.002.000.004.50-1.50-0.50-1.001.001.00 0.3720875686  0.0000007571 
0.006.001.001.000.000.001.000.004.50-0.500.50-1.001.002.00 0.3734632436  0.0000095470 
0.006.001.001.000.000.001.000.004.500.50-0.501.000.002.00 0.3734632436  0.0000031823 
0.006.001.001.000.000.001.000.004.50-1.50-0.50-1.001.001.00 0.3730814313  0.0000063645 
0.006.00-1.00-1.000.001.001.000.006.50-0.500.50-1.001.002.00 0.3739950563  0.0000059986 
0.006.00-1.00-1.000.001.001.000.006.500.50-0.501.000.002.00 0.3739950563  0.0000033053 
0.006.00-1.00-1.000.001.001.000.006.501.500.501.000.001.00 0.3734618495  0.0000004897 
0.006.000.000.000.000.002.000.006.50-0.500.50-1.001.002.00 0.3734602394  0.0000007933 
0.006.000.000.000.000.002.000.006.500.50-0.501.000.002.00 0.3734602394  0.0000007933 
0.006.000.000.000.000.002.000.006.501.500.501.000.001.00 0.3729270326  0.0000031732 
0.006.000.000.000.000.002.000.006.50-1.50-0.50-1.001.001.00 0.3729270326  0.0000031732 
0.006.001.001.000.000.001.000.006.50-0.500.50-1.001.002.00 0.3744541022  0.0000036737 
0.006.001.001.000.000.001.000.006.500.50-0.501.000.002.00 0.3744541022  0.0000066671 
0.006.001.001.000.000.001.000.006.50-1.50-0.50-1.001.001.00 0.3739208954  0.0000005443 
0.007.00-1.00-1.000.001.001.000.006.50-0.500.50-1.001.002.00 0.3739950563  0.0000036914 
0.007.00-1.00-1.000.001.001.000.006.500.50-0.501.000.002.00 0.3739950563  0.0000006278 
0.007.00-1.00-1.000.001.001.000.006.501.500.501.000.001.00 0.3734618495  0.0000022790 
0.007.000.000.000.001.002.000.006.50-0.500.50-1.001.002.00 0.3728499902  0.0000004612 
0.007.000.000.000.001.002.000.006.500.50-0.501.000.002.00 0.3728499902  0.0000004612 
0.007.000.000.000.001.002.000.006.501.500.501.000.001.00 0.3723167834  0.0000010376 
0.007.000.000.000.001.002.000.006.50-1.50-0.50-1.001.001.00 0.3723167834  0.0000010376 
0.007.001.001.000.000.001.000.006.50-0.500.50-1.001.002.00 0.3734602394  0.0000005059 
0.007.001.001.000.000.001.000.006.500.50-0.501.000.002.00 0.3734602394  0.0000029750 
0.007.001.001.000.000.001.000.006.50-1.50-0.50-1.001.001.00 0.3729270326  0.0000018365 
0.007.00-1.00-1.000.001.001.000.008.50-0.500.50-1.001.002.00 0.3752867641  0.0000009145 
0.007.00-1.00-1.000.001.001.000.008.500.50-0.501.000.002.00 0.3752867641  0.0000027434 
0.007.00-1.00-1.000.001.001.000.008.501.500.501.000.001.00 0.3746034870  0.0000034302 
0.007.000.000.000.001.002.000.008.50-0.500.50-1.001.002.00 0.3741416980  0.0000010287 
0.007.000.000.000.001.002.000.008.500.50-0.501.000.002.00 0.3741416980  0.0000010287 
